model_component,feature,importance_pct,feature_group
allocate_flm_regressor,hash__Site__95,0.2614753842353821,Site category signal
allocate_flm_regressor,hash__Site__61,0.2614704370498657,Site category signal
allocate_flm_regressor,hash__Class Name__25,0.2614491283893585,Class Name category signal
allocate_flm_regressor,hash__Class Name__23,0.26143792271614075,Class Name category signal
allocate_flm_regressor,hash__Line Name__30,0.26142647862434387,Line Name category signal
allocate_flm_regressor,hash__Rank__3,0.26140695810317993,Rank category signal
allocate_flm_regressor,hash__Site__39,0.26134631037712097,Site category signal
allocate_flm_regressor,hash__Rank__0,0.2613294720649719,Rank category signal
allocate_flm_regressor,hash__Class Name__77,0.261289119720459,Class Name category signal
allocate_flm_regressor,hash__Site__81,0.26121973991394043,Site category signal
allocate_flm_regressor,hash__Line Name__9,0.26118898391723633,Line Name category signal
allocate_flm_regressor,hash__Site__15,0.2611410617828369,Site category signal
allocate_flm_regressor,hash__Flag__5,0.2611118257045746,Flag category signal
allocate_flm_regressor,hash__Rank__7,0.2610994279384613,Rank category signal
allocate_flm_regressor,hash__Line Name__82,0.2610550820827484,Line Name category signal
allocate_flm_regressor,hash__Class Name__93,0.26104670763015747,Class Name category signal
allocate_flm_regressor,demand_pressure,0.26099932193756104,demand_pressure
allocate_flm_regressor,hash__Line Name__8,0.26097503304481506,Line Name category signal
allocate_flm_regressor,hash__Class Name__57,0.2609677016735077,Class Name category signal
allocate_flm_regressor,hash__Line Name__111,0.26087433099746704,Line Name category signal
allocate_flm_regressor,d30_gap,0.26081568002700806,d30_gap
allocate_flm_regressor,hash__Dc Avail Bucket__0,0.2608073353767395,Dc Avail Bucket category signal
allocate_flm_regressor,hash__Site__64,0.2607968747615814,Site category signal
allocate_flm_regressor,hash__Site__71,0.26070278882980347,Site category signal
allocate_flm_regressor,hash__Site__74,0.26070159673690796,Site category signal
allocate_flm_regressor,hash__Flag__6,0.2606789767742157,Flag category signal
allocate_flm_regressor,hash__Line Name__121,0.26066744327545166,Line Name category signal
allocate_flm_regressor,hash__Line Name__97,0.2606664299964905,Line Name category signal
